Purchase Receipt,Warenannahme
Create Card,Zum Dashboard hinzufügen
Required by,Benötigt ab Datum
Make Stock Entry,Lagerumbuchung vornehmen
Your Shortcuts,Verknüpfungen
Create Workspace,Erstelle Workspace
New Workspace,Neuer Workspace
Indicator Color,Systemfarbe
Operations,Arbeitsablauf
New Version,Neue Version
Has Variants,Ist eine Vorlage
"If this item has variants, then it cannot be selected in sales orders etc.","Wenn dieser Artikel eine ""Vorlage"" ist, dann kann er bei Erstellung von Aufträgen, etc. nicht ausgewählt werden"
Raw Materials,Material
New Item-Code,Neuer Artikelcode
Material Receipt,Materialannahme
Purchase Receipt has been transmitted successfully,Der Kaufbeleg wurde erfolgreich übermittelt
to receive,erhalten
landscape,Querformat
portrait,Hochformat
save,übernehmen
to receive and bill,empfangen und abrechnen
saved,übertragen
